edition_key,work_english_title,translator,publication_year,ask_who,ask_contact,host_site,host_permission_claim,ask_for,priority,status,first_contact_date,last_followup_date,next_followup_date,followup_count,response_summary,grant_license,usage_now,source_url,notes
lal_english_series,Library of Arabic Literature (NYU Press) — English volumes,various LAL translator-editors,2012–,NYU Press / Library of Arabic Literature,https://www.libraryofarabicliterature.org/ (press permissions),(not posted; Arabic PDFs only on the LAL site),n/a — English is sold. Arabic PDFs are already free.,CC-BY or CC-BY-SA on named English volumes for a public parallel dataset; Arabic is already free,high,not_started,,,,0,,,train_ok if a PDF is dropped; no public GET of English,https://www.libraryofarabicliterature.org/,Highest-value modern English. Ask per volume if a blanket series grant is refused.
ithra_muallaqat_millennials_2020,The Muʿallaqāt for Millennials,Ithra / King Abdulaziz Center for World Culture,2020,Ithra (King Abdulaziz Center for World Culture),https://www.ithra.com/,ithra.com (official PDF),"Copyright page: all rights reserved, no reproduction without written permission. Free download is not a redistribution grant.",CC-BY or CC-BY-SA on the English (and facing Arabic if needed) for a public parallel dataset,high,not_started,,,,0,,,train_ok,https://www.ithra.com/application/files/8516/7524/7465/Al_Muallaqat.pdf,They already give the PDF away. Named ask is plausible.
hourani_fasl_maqal,Averroes on the Harmony of Religion and Philosophy,George F. Hourani,1961,Gibb Memorial Trust,https://www.gibbtrust.org/ (verify current secretary),muslimphilosophy.com,No publisher permission posted. Public HTML GET of the 1961 Luzac / Gibb Memorial text.,CC-BY or CC-BY-SA for the Hourani English (Fasl + Damima + Kashf extract),high,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/ir/fasl.htm,"US term on a 1961 pub runs to ~2057. Charitable trust, out of print — best odds among 1950s–60s academic titles. Jamil 1921 stays the PD pair until a grant."
van_den_bergh_tahafut_tahafut,Averroes' Tahafut al-Tahafut (The Incoherence of the Incoherence),Simon van den Bergh,1954,Gibb Memorial Trust,https://www.gibbtrust.org/,muslimphilosophy.com,No publisher permission posted. Public HTML GET of the 1954 Luzac / Gibb Memorial text.,CC-BY or CC-BY-SA for the Van Den Bergh English,high,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/ir/tt/tt-all.htm,Same letter as Hourani. US term ~2050. No OpenITI TahafutTahafut witness.
kamali_ghazali_tahafut,Al-Ghazali's Tahafut al-Falasifah,Sabih Ahmad Kamali (confirm vs Marmura after OCR),1963?,Pakistan Philosophical Congress (Kamali 1963) or Brigham Young University Press / University of Chicago Press (Marmura 1997),ghazali.org lists Kamali 1963 PDF; Marmura is ITS/BYU for-sale,ghazali.org,Fair-use claim for the site compilation. Not a publisher license. Confirm which edition taf-eng.pdf actually is before writing.,CC-BY or CC-BY-SA for the English Tahafut,high,not_started,,,,0,,,train_ok,https://www.ghazali.org/works/taf-eng.pdf,Do not ask BYU for Kamali or PPC for Marmura. OCR the title page first.
watt_ghazali_faith_practice_1953,The Faith and Practice of al-Ghazali,W. Montgomery Watt,1953,George Allen & Unwin successor / HarperCollins or Watt estate,verify imprint chain for Allen & Unwin 1953,ghazali.org,Fair-use claim. Not a publisher license.,CC-BY or CC-BY-SA for Watt's Munqidh + Bidayat English,medium,not_started,,,,0,,,train_ok,https://www.ghazali.org/works/watt3.htm,Field 1909 remains the PD Munqidh. Commercial successor press — lower odds than Gibb.
mahdi_farabi_plato_aristotle,Alfarabi's Philosophy of Plato and Aristotle,Muhsin Mahdi,1962,Free Press of Glencoe / Macmillan successor; Cornell Agora reprints,verify which imprint currently holds English rights,muslimphilosophy.com (also traditionalhikma.com PDF of the same book),muslimphilosophy: none posted. Traditional Hikma: generic 'posted with permission from the copyright holders' — holders unnamed. Not a sublicense.,CC-BY or CC-BY-SA for the Mahdi English,high,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/books/farabi-pl-aris.pdf,"Traditional Hikma copy is a duplicate, not a second rights grant."
ivry_kindi_metaphysics_1974,Al-Kindi's Metaphysics: On First Philosophy,Alfred L. Ivry,1974,SUNY Press,https://sunypress.edu/ (permissions),muslimphilosophy.com,No publisher permission posted.,CC-BY or CC-BY-SA for the Ivry English,medium,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/books/kindi-met.pdf,University press. Expect no or NC-only.
faris_book_of_idols_1952,The Book of Idols,Nabih Amin Faris,1952,Princeton University Press,https://press.princeton.edu/ (permissions),ai-deutschland.de,"Site presents a Princeton 1952 reprint 'with claimed permission'. That claim is the host's, not a CC grant to us. De Gruyter still sells a PDF behind login.",CC-BY or CC-BY-SA for the Faris English,medium,not_started,,,,0,,,train_ok,https://www.ai-deutschland.de/Books/Al-Kalbi/,"ATHAR English matches this edition. Short book, good alignment."
arberry_seven_odes_1957,The Seven Odes,A. J. Arberry,1957,George Allen & Unwin / Routledge successor; Arberry estate,verify Routledge permissions for Allen & Unwin 1957,muslimphilosophy.com,No publisher permission posted.,CC-BY or CC-BY-SA for the Arberry English of the seven odes,medium,not_started,,,,0,,,train_ok,https://www.muslimphilosophy.com/books/odes.pdf,Better MT English than Jones/Blunt. Commercial poetry list — lower odds.
